title,company_name,location,platform,job_url,snippet,source_type
"Staff Product Manager, Global Expansion",Stripe,Bengaluru,Greenhouse,https://stripe.com/jobs/search?gh_jid=7570242,"&lt;h2&gt;Who we are&lt;/h2&gt; &lt;h3&gt;About Stripe&lt;/h3&gt; &lt;p&gt;&lt;span style=&quot;font-weight: 400;&quot;&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world’s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone’s reach while doing the most important work of your career.&lt;/span&gt;&lt;/p&gt; &lt;h2&gt;What you’ll do&lt;/h2&gt; &lt;p&gt;We’re hiring a Product Manager to lead Stripe’s India business strategy and product roadmap. We are seeking a hig",live
"Technical Program Manager, Risk",Stripe,Bangalore,Greenhouse,https://stripe.com/jobs/search?gh_jid=7678655,"&lt;h2&gt;Who we are&lt;/h2&gt; &lt;h3&gt;About Stripe&lt;/h3&gt; &lt;p&gt;Stripe is a financial infrastructure platform for businesses. Millions of companies—from the world&#39;s largest enterprises to the most ambitious startups—use Stripe to accept payments, grow their revenue, and accelerate new business opportunities. Our mission is to increase the GDP of the internet, and we have a staggering amount of work ahead. That means you have an unprecedented opportunity to put the global economy within everyone&#39;s reach while doing the most important work of your career.&lt;/p&gt; &lt;h3&gt;About the team&lt;/h3&gt; &lt;p&gt;The Stripe mission is to build the economic infrastructure for the internet. Risk and Compliance Engineering builds products to lower financial and regulatory risk at",live
Senior Product Manager,1mg,"Bangalore, India",Tata 1mg Careers,https://www.1mg.com/jobs,E-pharmacy PM.,curated
Senior Program Manager,Accenture,"Bangalore, India",Accenture Careers,https://www.accenture.com/in-en/careers,Consulting program delivery.,curated
Product Manager - Insurance,Acko,"Bangalore, India",Acko Careers,https://www.acko.com/careers/,Insurtech PM.,curated
Senior Product Manager,Adobe,"Bangalore, India",Adobe Careers,https://careers.adobe.com/us/en/search-results?keywords=product%20manager&location=Bangalore,Creative / experience cloud PM.,curated
Senior Product Manager,Agoda,"Bangalore, India",Agoda Careers,https://careersatagoda.com/,Travel / hospitality PM.,curated
Product Manager - Seller Experience,Amazon,"Bangalore, India",Amazon Jobs,https://www.amazon.jobs/en/search?base_query=product%20manager&loc_query=Bangalore,Marketplace seller PM.,curated
Product Manager - Analytics,Amplitude,"Bangalore, India",Amplitude Careers,https://amplitude.com/careers,Product analytics PM.,curated
Product Manager - EV,Ather Energy,"Bangalore, India",Ather Careers,https://www.atherenergy.com/careers,EV / mobility PM.,curated
Product Manager - Lending,BharatPe,"Bangalore, India",BharatPe Careers,https://bharatpe.com/careers,Fintech lending PM.,curated
Product Manager - Fleet,BlackBuck,"Bangalore, India",BlackBuck Careers,https://blackbuck.com/careers,Trucking logistics PM.,curated
Technical Program Manager,Booking.com,"Bangalore, India",Booking Careers,https://jobs.booking.com/,Travel platform TPM.,curated
Senior Program Manager,Bosch,"Bangalore, India",Bosch Careers,https://www.bosch.com/careers/,Automotive program mgmt.,curated
Senior Product Manager,BrowserStack,"Bangalore, India",BrowserStack Careers,https://www.browserstack.com/careers,Developer tools PM.,curated
Product Manager - Platform,CRED,"Bangalore, India",CRED Careers,https://careers.cred.club/,Fintech platform PM.,curated
Product Manager - Checkout,Cashfree,"Bangalore, India",Cashfree Careers,https://www.cashfree.com/careers,Payments gateway PM.,curated
Product Manager - B2B SaaS,Chargebee,"Bangalore, India",Chargebee Careers,https://www.chargebee.com/careers/,Subscription billing SaaS PM.,curated
Senior Product Manager,Chronosphere,"Bangalore, India",Chronosphere Careers,https://chronosphere.io/careers/,Observability PM.,curated
Technical Program Manager,Cisco,"Bangalore, India",Cisco Careers,https://jobs.cisco.com/jobs/SearchJobs/?keyword=technical%20program%20manager,Networking / security TPM.,curated
Product Manager - Splunk Observability,Cisco Splunk,"Bangalore, India",Splunk Careers,https://www.splunk.com/en_us/careers.html,Observability / log management PM.,curated
Senior Product Manager,CleverTap,"Bangalore, India",CleverTap Careers,https://clevertap.com/careers/,MarTech / analytics PM.,curated
Senior Product Manager - Healthcare SaaS,Confidential (via recruiter),"Bengaluru, India",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Senior%20Product%20Manager%20Healthcare%20SaaS&location=Bengaluru,B2B SaaS PM; AI healthcare; 5-9 yrs; up to 70 LPA.,curated
Senior Program Manager,Confluent,"Bangalore, India",Confluent Careers,https://www.confluent.io/careers/,Kafka / streaming PM.,curated
Technical Program Manager,Coupa,"Bangalore, India",Coupa Careers,https://careers.coupa.com/,Procurement SaaS TPM.,curated
Product Manager - HR Tech,Darwinbox,"Bangalore, India",Darwinbox Careers,https://darwinbox.com/careers,HCM SaaS PM.,curated
Senior Product Manager,Databricks,"Bangalore, India",Databricks Careers,https://www.databricks.com/company/careers,Data / AI platform PM.,curated
Product Manager - Observability,Datadog,"Bangalore, India",Datadog Careers,https://careers.datadoghq.com/,APM / monitoring PM — direct skill match.,curated
Product Manager - Logistics,Delhivery,"Bangalore, India",Delhivery Careers,https://www.delhivery.com/careers/,Logistics tech PM.,curated
Senior Product Manager - Order Management,Dell,"Bangalore, India",Dell Careers,https://jobs.dell.com/en/search-jobs/Bangalore,OMS / supply chain PM — alumni fit.,curated
Senior Program Manager,Deutsche Bank,"Bangalore, India",Deutsche Bank Careers,https://careers.db.com/,Banking tech program mgmt.,curated
Product Manager - Gaming,Dream11,"Bangalore, India",Dream Sports Careers,https://www.dreamsports.group/careers,Fantasy sports PM.,curated
Senior Product Manager,Dunzo,"Bangalore, India",Dunzo Careers,https://dunzo.com/careers,Quick commerce PM.,curated
Senior Program Manager,Dynatrace,"Bangalore, India",Dynatrace Careers,https://www.dynatrace.com/company/careers/,APM program mgmt.,curated
Senior Product Manager,Elastic,"Bangalore, India",Elastic Careers,https://jobs.elastic.co/,Search / observability PM — skill match.,curated
Product Manager,Elfina Health,"Bengaluru, India",LinkedIn,https://www.linkedin.com/company/elfina-health/jobs/,0-to-1 health-tech PM; Koramangala; 4+ yrs.,curated
Senior Product Manager,Flipkart,"Bangalore, India",Flipkart Careers,https://www.flipkartcareers.com/#!/jobsearch,E-commerce PM; supply chain / OMS.,curated
Product Manager - AI/ML,Fractal Analytics,"Bangalore, India",Fractal Careers,https://fractal.ai/careers/,AI product consulting.,curated
Product Manager - SaaS,Freshworks,"Bangalore, India",Freshworks Careers,https://www.freshworks.com/company/careers/,B2B SaaS CRM / ITSM PM.,curated
Technical Program Manager,Goldman Sachs,"Bangalore, India",Goldman Careers,https://www.goldmansachs.com/careers/,Finance tech TPM.,curated
Technical Program Manager,Google,"Bangalore, India",Google Careers,https://www.google.com/about/careers/applications/jobs/results/?location=Bangalore&q=technical%20program%20manager,Cloud / ads / core TPM.,curated
Senior Product Manager,Grafana Labs,"Bangalore, India",Grafana Careers,https://grafana.com/about/careers/,Observability / dashboards PM.,curated
Senior Product Manager,Groww,"Bangalore, India",Groww Careers,https://groww.in/careers,Investing / fintech PM.,curated
Product Manager - Cloud,HCLTech,"Bangalore, India",HCL Careers,https://www.hcltech.com/careers,Cloud / digital PM.,curated
Product Manager - Platform,HashiCorp,"Bangalore, India",HashiCorp Careers,https://www.hashicorp.com/careers,Terraform / infra PM.,curated
Senior Program Manager,Hasura,"Bangalore, India",Hasura Careers,https://hasura.io/careers/,GraphQL / data PM.,curated
Product Manager - Hormone Insights,Health-tech,"Bengaluru, India",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Product%20Manager%20Hormone%20Health%20Bangalore&location=Bengaluru,Consumer health-tech; 5-8 yrs; 40-50 LPA.,curated
Senior Product Manager,HighRadius,"Bangalore, India",HighRadius Careers,https://www.highradius.com/about/careers/,FinOps SaaS PM.,curated
Technical Program Manager,Honeycomb,"Bangalore, India",Honeycomb Careers,https://www.honeycomb.io/careers,Observability TPM.,curated
Program Manager,IBM,"Bangalore, India",IBM Careers,https://www.ibm.com/careers/search?field_keyword_18[0]=Bangalore&field_keyword_05[0]=Program%20Manager,Hybrid cloud program mgmt.,curated
Senior Product Manager,Icertis,"Bangalore, India",Icertis Careers,https://www.icertis.com/company/careers/,Contract lifecycle SaaS PM.,curated
Senior Product Manager,InMobi,"Bangalore, India",InMobi Careers,https://www.inmobi.com/company/careers/,Ad-tech PM.,curated
Senior Program Manager,Infosys,"Bangalore, India",Infosys Careers,https://www.infosys.com/careers.html,Large-scale delivery PM.,curated
"Group Product Manager, GenAI",Intuit,"Bangalore, India",LinkedIn,https://www.linkedin.com/jobs/search/?keywords=Group%20Product%20Manager%20GenAI%20Intuit&location=Bangalore,Martech/DXP GenAI; 12-17 yrs PM; people leadership.,curated
Senior Product Manager,Juspay,"Bangalore, India",Juspay Careers,https://juspay.io/careers,Payments orchestration PM.,curated
Product Manager - API,Kong,"Bangalore, India",Kong Careers,https://konghq.com/company/careers,API gateway PM.,curated
Technical Program Manager,L&T Technology,"Bangalore, India",LTTS Careers,https://www.ltts.com/careers,Engineering services TPM.,curated
Product Manager - Testing,LambdaTest,"Bangalore, India",LambdaTest Careers,https://www.lambdatest.com/careers,DevTools / QA PM.,curated
Product Manager - CRM,LeadSquared,"Bangalore, India",LeadSquared Careers,https://www.leadsquared.com/careers/,Sales CRM PM.,curated
Product Manager - Supply Chain,Licious,"Bangalore, India",Licious Careers,https://www.licious.in/careers,D2C / supply chain PM.,curated
Technical Program Manager,LinkedIn,"Bangalore, India",LinkedIn Careers,https://careers.linkedin.com/jobs/search?keywords=technical%20program%20manager&location=Bangalore,Professional network TPM.,curated
Product Manager - Travel,MakeMyTrip,"Bangalore, India",MakeMyTrip Careers,https://careers.makemytrip.com/,Travel tech — Expedia adjacent.,curated
Senior Product Manager,MapmyIndia,"Bangalore, India",MapmyIndia Careers,https://www.mapmyindia.com/careers/,Location / maps platform PM.,curated
Product Manager - Cards,Mastercard,"Bangalore, India",Mastercard Careers,https://careers.mastercard.com/,Financial services PM.,curated
Senior Product Manager - Logistics,Meesho,"Bangalore, India",Meesho Careers,https://careers.meesho.com/,Supply chain & fulfillment PM.,curated
Technical Program Manager,Meta,"Bangalore, India",Meta Careers,https://www.metacareers.com/jobs?q=technical%20program%20manager&location=Bangalore,WhatsApp / infra TPM.,curated
Product Manager II,Microsoft,"Bangalore, India",Microsoft Careers,https://apply.careers.microsoft.com/careers?location=Bangalore&keywords=product%20manager,Azure / M365 / enterprise PM.,curated
Senior Product Manager,Mindtickle,"Bangalore, India",Mindtickle Careers,https://www.mindtickle.com/careers/,Sales enablement SaaS PM.,curated
Senior Product Manager,Mixpanel,"Bangalore, India",Mixpanel Careers,https://mixpanel.com/careers/,Analytics PM.,curated
Senior Product Manager,MoEngage,"Bangalore, India",MoEngage Careers,https://www.moengage.com/careers/,Customer engagement PM.,curated
Senior Product Manager,MongoDB,"Bangalore, India",MongoDB Careers,https://www.mongodb.com/careers,Database platform PM.,curated
Senior Product Manager,Myntra,"Bangalore, India",Myntra Careers,https://www.myntra.com/careers,Fashion e-commerce PM.,curated
Product Manager - Lending,Navi,"Bangalore, India",Navi Careers,https://navi.com/careers,Fintech PM.,curated
Senior Product Manager,New Relic,"Bangalore, India",New Relic Careers,https://newrelic.com/careers,Observability PM.,curated
Technical Program Manager,Nutanix,"Bangalore, India",Nutanix Careers,https://www.nutanix.com/company/careers,Hyperconverged infra TPM.,curated
Technical Program Manager,Nvidia,"Bangalore, India",Nvidia Careers,https://nvidia.wd5.myworkdayjobs.com/NVIDIAExternalCareerSite,AI / GPU platform TPM.,curated
Senior Product Manager,Nykaa,"Bangalore, India",Nykaa Careers,https://www.nykaa.com/careers,Beauty e-commerce PM.,curated
Product Manager - Hotels,OYO,"Bangalore, India",OYO Careers,https://www.oyorooms.com/careers,Hospitality tech PM.,curated
Product Manager - Identity,Okta,"Bangalore, India",Okta Careers,https://www.okta.com/company/careers/,IAM PM.,curated
Senior Product Manager,Ola,"Bangalore, India",Ola Careers,https://ola.careers/,Mobility / EV PM.,curated
Product Manager,Open Financial,"Bangalore, India",Open Careers,https://open.money/careers,SMB fintech PM.,curated
Senior Product Manager,Open Financial,"Bangalore, India",Open Careers,https://open.money/careers,SMB banking PM.,curated
Product Manager - Cloud,Oracle,"Bangalore, India",Oracle Careers,https://www.oracle.com/careers/,OCI / enterprise cloud PM.,curated
Product Manager - SRE Tools,PagerDuty,"Bangalore, India",PagerDuty Careers,https://careers.pagerduty.com/,Incident response PM.,curated
Product Manager - Security,Palo Alto Networks,"Bangalore, India",Palo Alto Careers,https://jobs.paloaltonetworks.com/,Cybersecurity PM.,curated
Technical Program Manager,PayPal,"Bangalore, India",PayPal Careers,https://careers.pypl.com/,Payments platform TPM.,curated
Senior Product Manager,Perfios,"Bangalore, India",Perfios Careers,https://www.perfios.com/careers,Credit analytics PM.,curated
Product Manager - Diagnostics,PharmEasy,"Bangalore, India",PharmEasy Careers,https://pharmeasy.in/careers,Health-tech PM.,curated
Senior Product Manager - Payments,PhonePe,"Bangalore, India",PhonePe Careers,https://www.phonepe.com/careers/,Fintech PM; payments platform.,curated
Senior Product Manager,Pine Labs,"Bangalore, India",Pine Labs Careers,https://www.pinelabs.com/careers,Merchant payments PM.,curated
